Upper tier local authorities Code,Upper tier local authorities,Ethnic group (8 categories) Code,Ethnic group,Observation
E06000001,Hartlepool,-8,Does not apply,0
E06000001,Hartlepool,1,Asian,1599
E06000001,Hartlepool,2,Black,445
E06000001,Hartlepool,3,Mixed,671
E06000001,Hartlepool,4,White British,87761
E06000001,Hartlepool,5,White Other,170
E06000001,Hartlepool,6,White Other,1137
E06000001,Hartlepool,7,Other,555
E06000002,Middlesbrough,-8,Does not apply,0
E06000002,Middlesbrough,1,Asian,15092
E06000002,Middlesbrough,2,Black,3815
E06000002,Middlesbrough,3,Mixed,3001
E06000002,Middlesbrough,4,White British,114421
E06000002,Middlesbrough,5,White Other,434
E06000002,Middlesbrough,6,White Other,3693
E06000002,Middlesbrough,7,Other,3468
E06000003,Redcar & Clevel&,-8,Does not apply,0
E06000003,Redcar & Clevel&,1,Asian,1160
E06000003,Redcar & Clevel&,2,Black,265
E06000003,Redcar & Clevel&,3,Mixed,1187
E06000003,Redcar & Clevel&,4,White British,131789
E06000003,Redcar & Clevel&,5,White Other,350
E06000003,Redcar & Clevel&,6,White Other,1248
E06000003,Redcar & Clevel&,7,Other,532
E06000004,Stockton-on-Tees,-8,Does not apply,0
E06000004,Stockton-on-Tees,1,Asian,9052
E06000004,Stockton-on-Tees,2,Black,2203
E06000004,Stockton-on-Tees,3,Mixed,2739
E06000004,Stockton-on-Tees,4,White British,177526
E06000004,Stockton-on-Tees,5,White Other,528
E06000004,Stockton-on-Tees,6,White Other,2883
E06000004,Stockton-on-Tees,7,Other,1664
E06000005,Darlington,-8,Does not apply,0
E06000005,Darlington,1,Asian,2966
E06000005,Darlington,2,Black,701
E06000005,Darlington,3,Mixed,1472
E06000005,Darlington,4,White British,97320
E06000005,Darlington,5,White Other,342
E06000005,Darlington,6,White Other,4065
E06000005,Darlington,7,Other,932
E06000006,Halton,-8,Does not apply,0
E06000006,Halton,1,Asian,1435
E06000006,Halton,2,Black,511
E06000006,Halton,3,Mixed,1792
E06000006,Halton,4,White British,120301
E06000006,Halton,5,White Other,685
E06000006,Halton,6,White Other,2990
E06000006,Halton,7,Other,764
E06000007,Warrington,-8,Does not apply,0
E06000007,Warrington,1,Asian,6954
E06000007,Warrington,2,Black,1576
E06000007,Warrington,3,Mixed,3335
E06000007,Warrington,4,White British,185940
E06000007,Warrington,5,White Other,1366
E06000007,Warrington,6,White Other,10000
E06000007,Warrington,7,Other,1803
E06000008,Blackburn with Darwen,-8,Does not apply,0
E06000008,Blackburn with Darwen,1,Asian,55178
E06000008,Blackburn with Darwen,2,Black,1403
E06000008,Blackburn with Darwen,3,Mixed,2597
E06000008,Blackburn with Darwen,4,White British,87997
E06000008,Blackburn with Darwen,5,White Other,589
E06000008,Blackburn with Darwen,6,White Other,4806
E06000008,Blackburn with Darwen,7,Other,2169
E06000009,Blackpool,-8,Does not apply,0
E06000009,Blackpool,1,Asian,3674
E06000009,Blackpool,2,Black,710
E06000009,Blackpool,3,Mixed,2210
E06000009,Blackpool,4,White British,127445
E06000009,Blackpool,5,White Other,808
E06000009,Blackpool,6,White Other,5297
E06000009,Blackpool,7,Other,892
E06000010,Kingston upon Hull,-8,Does not apply,0
E06000010,Kingston upon Hull,1,Asian,7516
E06000010,Kingston upon Hull,2,Black,5065
E06000010,Kingston upon Hull,3,Mixed,4513
E06000010,Kingston upon Hull,4,White British,223962
E06000010,Kingston upon Hull,5,White Other,455
E06000010,Kingston upon Hull,6,White Other,20572
E06000010,Kingston upon Hull,7,Other,4931
E06000011,East Riding of Yorkshire,-8,Does not apply,0
E06000011,East Riding of Yorkshire,1,Asian,3685
E06000011,East Riding of Yorkshire,2,Black,894
E06000011,East Riding of Yorkshire,3,Mixed,3198
E06000011,East Riding of Yorkshire,4,White British,323838
E06000011,East Riding of Yorkshire,5,White Other,1063
E06000011,East Riding of Yorkshire,6,White Other,8261
E06000011,East Riding of Yorkshire,7,Other,1276
E06000012,North East Lincolnshire,-8,Does not apply,0
E06000012,North East Lincolnshire,1,Asian,2436
E06000012,North East Lincolnshire,2,Black,845
E06000012,North East Lincolnshire,3,Mixed,1617
E06000012,North East Lincolnshire,4,White British,145362
E06000012,North East Lincolnshire,5,White Other,320
E06000012,North East Lincolnshire,6,White Other,5349
E06000012,North East Lincolnshire,7,Other,1037
E06000013,North Lincolnshire,-8,Does not apply,0
E06000013,North Lincolnshire,1,Asian,5621
E06000013,North Lincolnshire,2,Black,816
E06000013,North Lincolnshire,3,Mixed,1820
E06000013,North Lincolnshire,4,White British,150554
E06000013,North Lincolnshire,5,White Other,556
E06000013,North Lincolnshire,6,White Other,8941
E06000013,North Lincolnshire,7,Other,1372
E06000014,York,-8,Does not apply,0
E06000014,York,1,Asian,7633
E06000014,York,2,Black,1324
E06000014,York,3,Mixed,3741
E06000014,York,4,White British,176963
E06000014,York,5,White Other,1317
E06000014,York,6,White Other,9889
E06000014,York,7,Other,1954
E06000015,Derby,-8,Does not apply,0
E06000015,Derby,1,Asian,40901
E06000015,Derby,2,Black,10482
E06000015,Derby,3,Mixed,9562
E06000015,Derby,4,White British,173077
E06000015,Derby,5,White Other,1982
E06000015,Derby,6,White Other,17812
E06000015,Derby,7,Other,7548
E06000016,Leicester,-8,Does not apply,0
E06000016,Leicester,1,Asian,159974
E06000016,Leicester,2,Black,28766
E06000016,Leicester,3,Mixed,13899
E06000016,Leicester,4,White British,122395
E06000016,Leicester,5,White Other,1789
E06000016,Leicester,6,White Other,26473
E06000016,Leicester,7,Other,15272
E06000017,Rutl&,-8,Does not apply,0
E06000017,Rutl&,1,Asian,632
E06000017,Rutl&,2,Black,552
E06000017,Rutl&,3,Mixed,744
E06000017,Rutl&,4,White British,37372
E06000017,Rutl&,5,White Other,265
E06000017,Rutl&,6,White Other,1272
E06000017,Rutl&,7,Other,212
E06000018,Nottingham,-8,Does not apply,0
E06000018,Nottingham,1,Asian,48217
E06000018,Nottingham,2,Black,32212
E06000018,Nottingham,3,Mixed,19063
E06000018,Nottingham,4,White British,185580
E06000018,Nottingham,5,White Other,2360
E06000018,Nottingham,6,White Other,25490
E06000018,Nottingham,7,Other,10710
E06000019,Herefordshire,-8,Does not apply,0
E06000019,Herefordshire,1,Asian,2218
E06000019,Herefordshire,2,Black,567
E06000019,Herefordshire,3,Mixed,1980
E06000019,Herefordshire,4,White British,170419
E06000019,Herefordshire,5,White Other,727
E06000019,Herefordshire,6,White Other,10102
