borough,year,population,gender,race,like,retweet,reply,post_length,p_type_image,p_type_text,p_type_video,count_Twitter,mean_Q131,mean_Q133,Q131_Q133_avg,count_PAS,total_surveys_borough,proportion_subgroup
Barking and Dagenham,2017,210513,Female,Asian,6029.0,4232.0,838.0,114.76740506329114,374.0,268.0,7.0,649,1.5588235294117647,1.588235294117647,1.5735294117647058,34,303,0.1122112211221122
Barking and Dagenham,2017,210513,Female,Black,6029.0,4232.0,838.0,114.76740506329114,374.0,268.0,7.0,649,1.3783783783783785,1.7027027027027026,1.5405405405405403,37,303,0.1221122112211221
Barking and Dagenham,2017,210513,Female,White,6029.0,4232.0,838.0,114.76740506329114,374.0,268.0,7.0,649,1.4174757281553398,1.5533980582524272,1.4854368932038835,103,303,0.3399339933993399
Barking and Dagenham,2017,210513,Male,Asian,6029.0,4232.0,838.0,114.76740506329114,374.0,268.0,7.0,649,1.4,1.7333333333333334,1.5666666666666669,30,303,0.099009900990099
Barking and Dagenham,2017,210513,Male,Black,6029.0,4232.0,838.0,114.76740506329114,374.0,268.0,7.0,649,1.4375,1.5625,1.5,16,303,0.0528052805280528
Barking and Dagenham,2017,210513,Male,White,6029.0,4232.0,838.0,114.76740506329114,374.0,268.0,7.0,649,1.4939759036144578,1.7228915662650603,1.608433734939759,83,303,0.2739273927392739
Barking and Dagenham,2018,212773,Female,Asian,7368.0,3835.0,622.0,161.4438095238095,395.0,154.0,16.0,565,1.4193548387096775,1.5806451612903225,1.5,31,373,0.0831099195710455
Barking and Dagenham,2018,212773,Female,Black,7368.0,3835.0,622.0,161.4438095238095,395.0,154.0,16.0,565,1.6578947368421053,1.6842105263157894,1.6710526315789471,38,373,0.1018766756032171
Barking and Dagenham,2018,212773,Female,White,7368.0,3835.0,622.0,161.4438095238095,395.0,154.0,16.0,565,1.330708661417323,1.7086614173228347,1.5196850393700787,127,373,0.3404825737265415
Barking and Dagenham,2018,212773,Male,Asian,7368.0,3835.0,622.0,161.4438095238095,395.0,154.0,16.0,565,1.3,1.625,1.4625,40,373,0.1072386058981233
Barking and Dagenham,2018,212773,Male,Black,7368.0,3835.0,622.0,161.4438095238095,395.0,154.0,16.0,565,1.4761904761904765,1.9047619047619049,1.6904761904761905,21,373,0.0563002680965147
Barking and Dagenham,2018,212773,Male,White,7368.0,3835.0,622.0,161.4438095238095,395.0,154.0,16.0,565,1.4310344827586208,1.8103448275862069,1.6206896551724137,116,373,0.3109919571045576
Barking and Dagenham,2019,214858,Female,Asian,7377.0,2872.0,502.0,164.13006396588486,306.0,139.0,28.0,473,1.319148936170213,1.446808510638298,1.3829787234042552,47,382,0.1230366492146596
Barking and Dagenham,2019,214858,Female,Black,7377.0,2872.0,502.0,164.13006396588486,306.0,139.0,28.0,473,1.351351351351351,1.5405405405405406,1.445945945945946,37,382,0.0968586387434555
Barking and Dagenham,2019,214858,Female,White,7377.0,2872.0,502.0,164.13006396588486,306.0,139.0,28.0,473,1.288888888888889,1.6074074074074074,1.4481481481481482,135,382,0.3534031413612565
Barking and Dagenham,2019,214858,Male,Asian,7377.0,2872.0,502.0,164.13006396588486,306.0,139.0,28.0,473,1.2962962962962965,1.4444444444444444,1.3703703703703702,27,382,0.0706806282722513
Barking and Dagenham,2019,214858,Male,Black,7377.0,2872.0,502.0,164.13006396588486,306.0,139.0,28.0,473,1.48,1.76,1.62,25,382,0.0654450261780104
Barking and Dagenham,2019,214858,Male,White,7377.0,2872.0,502.0,164.13006396588486,306.0,139.0,28.0,473,1.4144144144144144,1.6126126126126126,1.5135135135135136,111,382,0.2905759162303665
Barking and Dagenham,2020,218367,Female,Asian,418.0,134.0,29.0,166.4,24.0,18.0,3.0,45,1.0869565217391304,1.434782608695652,1.2608695652173911,23,87,0.264367816091954
Barking and Dagenham,2020,218367,Female,Black,418.0,134.0,29.0,166.4,24.0,18.0,3.0,45,1.2,1.3,1.25,10,87,0.1149425287356321
Barking and Dagenham,2020,218367,Female,White,418.0,134.0,29.0,166.4,24.0,18.0,3.0,45,1.25,1.4642857142857142,1.3571428571428572,28,87,0.3218390804597701
Barking and Dagenham,2020,218367,Male,Asian,418.0,134.0,29.0,166.4,24.0,18.0,3.0,45,1.2222222222222223,1.3333333333333333,1.2777777777777777,9,87,0.1034482758620689
Barking and Dagenham,2020,218367,Male,Black,418.0,134.0,29.0,166.4,24.0,18.0,3.0,45,1.5,1.6666666666666667,1.5833333333333337,6,87,0.0689655172413793
Barking and Dagenham,2020,218367,Male,White,418.0,134.0,29.0,166.4,24.0,18.0,3.0,45,1.181818181818182,1.3636363636363635,1.2727272727272727,11,87,0.1264367816091954
Barnet,2017,391446,Female,Asian,2962.0,2385.0,268.0,135.8508064516129,311.0,172.0,15.0,498,1.3571428571428572,1.6428571428571428,1.5,28,292,0.0958904109589041
Barnet,2017,391446,Female,Black,2962.0,2385.0,268.0,135.8508064516129,311.0,172.0,15.0,498,1.4615384615384617,1.6923076923076923,1.5769230769230769,13,292,0.0445205479452054
Barnet,2017,391446,Female,White,2962.0,2385.0,268.0,135.8508064516129,311.0,172.0,15.0,498,1.475409836065574,1.680327868852459,1.5778688524590163,122,292,0.4178082191780822
Barnet,2017,391446,Male,Asian,2962.0,2385.0,268.0,135.8508064516129,311.0,172.0,15.0,498,1.6785714285714286,1.5714285714285714,1.625,28,292,0.0958904109589041
Barnet,2017,391446,Male,Black,2962.0,2385.0,268.0,135.8508064516129,311.0,172.0,15.0,498,2.0,2.0,2.0,10,292,0.0342465753424657
Barnet,2017,391446,Male,White,2962.0,2385.0,268.0,135.8508064516129,311.0,172.0,15.0,498,1.6043956043956045,1.78021978021978,1.6923076923076923,91,292,0.3116438356164384
Barnet,2018,397049,Female,Asian,5682.0,2558.0,670.0,185.74409448818892,281.0,208.0,19.0,508,1.3611111111111112,1.5833333333333333,1.4722222222222223,36,368,0.0978260869565217
Barnet,2018,397049,Female,Black,5682.0,2558.0,670.0,185.74409448818892,281.0,208.0,19.0,508,1.2941176470588236,1.588235294117647,1.4411764705882353,17,368,0.046195652173913
Barnet,2018,397049,Female,White,5682.0,2558.0,670.0,185.74409448818892,281.0,208.0,19.0,508,1.529032258064516,1.7870967741935484,1.6580645161290324,155,368,0.421195652173913
Barnet,2018,397049,Male,Asian,5682.0,2558.0,670.0,185.74409448818892,281.0,208.0,19.0,508,1.5862068965517242,1.862068965517241,1.7241379310344829,29,368,0.0788043478260869
Barnet,2018,397049,Male,Black,5682.0,2558.0,670.0,185.74409448818892,281.0,208.0,19.0,508,1.5,1.6666666666666667,1.5833333333333337,12,368,0.0326086956521739
Barnet,2018,397049,Male,White,5682.0,2558.0,670.0,185.74409448818892,281.0,208.0,19.0,508,1.4621848739495795,1.8823529411764703,1.672268907563025,119,368,0.3233695652173913
Barnet,2019,402363,Female,Asian,4736.0,2059.0,589.0,207.8333333333333,120.0,78.0,21.0,219,1.3461538461538465,1.8846153846153848,1.6153846153846154,26,361,0.0720221606648199
Barnet,2019,402363,Female,Black,4736.0,2059.0,589.0,207.8333333333333,120.0,78.0,21.0,219,1.4,1.8,1.6,25,361,0.0692520775623268
Barnet,2019,402363,Female,White,4736.0,2059.0,589.0,207.8333333333333,120.0,78.0,21.0,219,1.4236111111111112,1.8125,1.6180555555555556,144,361,0.3988919667590028
Barnet,2019,402363,Male,Asian,4736.0,2059.0,589.0,207.8333333333333,120.0,78.0,21.0,219,1.4074074074074074,1.7407407407407407,1.574074074074074,27,361,0.074792243767313
Barnet,2019,402363,Male,Black,4736.0,2059.0,589.0,207.8333333333333,120.0,78.0,21.0,219,1.1538461538461535,1.8461538461538465,1.5,13,361,0.0360110803324099
Barnet,2019,402363,Male,White,4736.0,2059.0,589.0,207.8333333333333,120.0,78.0,21.0,219,1.531746031746032,1.9206349206349207,1.7261904761904765,126,361,0.3490304709141274
Barnet,2020,407148,Female,Asian,4243.0,2075.0,1062.0,203.46534653465343,101.0,102.0,9.0,212,1.3703703703703705,1.7037037037037035,1.5370370370370372,27,334,0.0808383233532934
Barnet,2020,407148,Female,Black,4243.0,2075.0,1062.0,203.46534653465343,101.0,102.0,9.0,212,1.5625,2.125,1.84375,16,334,0.0479041916167664
Barnet,2020,407148,Female,White,4243.0,2075.0,1062.0,203.46534653465343,101.0,102.0,9.0,212,1.4411764705882353,1.75,1.5955882352941178,136,334,0.4071856287425149
Barnet,2020,407148,Male,Asian,4243.0,2075.0,1062.0,203.46534653465343,101.0,102.0,9.0,212,1.72,1.88,1.7999999999999998,25,334,0.0748502994011976
Barnet,2020,407148,Male,Black,4243.0,2075.0,1062.0,203.46534653465343,101.0,102.0,9.0,212,1.368421052631579,1.8421052631578947,1.6052631578947367,19,334,0.0568862275449101
Barnet,2020,407148,Male,White,4243.0,2075.0,1062.0,203.46534653465343,101.0,102.0,9.0,212,1.4504504504504503,1.7387387387387387,1.5945945945945947,111,334,0.3323353293413174
Bexley,2017,247179,Female,Asian,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.9,2.0,1.95,10,315,0.0317460317460317
Bexley,2017,247179,Female,Black,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.5833333333333333,1.8333333333333333,1.7083333333333333,12,315,0.0380952380952381
Bexley,2017,247179,Female,White,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.6412213740458017,1.816793893129771,1.7290076335877862,131,315,0.4158730158730159
Bexley,2017,247179,Male,Asian,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.7142857142857142,1.8571428571428568,1.7857142857142856,14,315,0.0444444444444444
Bexley,2017,247179,Male,Black,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.5714285714285714,1.8571428571428568,1.7142857142857144,21,315,0.0666666666666666
Bexley,2017,247179,Male,White,2133.0,1441.0,185.0,127.16,106.0,69.0,7.0,182,1.7559055118110236,1.9133858267716533,1.8346456692913384,127,315,0.4031746031746032
Bexley,2018,249999,Female,Asian,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.5217391304347827,1.4782608695652173,1.5,23,371,0.0619946091644204
Bexley,2018,249999,Female,Black,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.2727272727272727,1.5454545454545454,1.4090909090909092,22,371,0.059299191374663
Bexley,2018,249999,Female,White,1422.0,858.0,117.0,177.92233009708738,56.0,43.0,4.0,103,1.425,1.6375,1.53125,160,371,0.431266846361186
