;borough;year;population;like;retweet;reply;post_length;post_type_image;post_type_text;post_type_video;entries;avg_like;avg_retweet;avg_reply;Q131;Q133
0;Barking and Dagenham;2017;210513;6029.0;4232.0;838.0;114.76740506329114;374.0;268.0;7.0;649;9.289676425269645;6.520801232665639;1.2912172573189522;1.4507936507936507;1.6444444444444444
1;Barking and Dagenham;2018;212773;7368.0;3835.0;622.0;161.4438095238095;395.0;154.0;16.0;565;13.04070796460177;6.787610619469026;1.1008849557522125;1.408;1.7306666666666666
2;Barking and Dagenham;2019;214858;7377.0;2872.0;502.0;164.13006396588486;306.0;139.0;28.0;473;15.596194503171247;6.071881606765328;1.0613107822410148;1.3453608247422681;1.574742268041237
3;Barking and Dagenham;2020;218367;418.0;134.0;29.0;166.4;24.0;18.0;3.0;45;9.28888888888889;2.977777777777778;0.6444444444444445;1.206896551724138;1.4252873563218391
4;Barnet;2017;391446;2962.0;2385.0;268.0;135.8508064516129;311.0;172.0;15.0;498;5.947791164658635;4.789156626506024;0.5381526104417671;1.5344262295081967;1.7245901639344263
5;Barnet;2018;397049;5682.0;2558.0;670.0;185.74409448818895;281.0;208.0;19.0;508;11.18503937007874;5.035433070866142;1.3188976377952757;1.486842105263158;1.7973684210526315
6;Barnet;2019;402363;4736.0;2059.0;589.0;207.83333333333331;120.0;78.0;21.0;219;21.625570776255707;9.401826484018265;2.689497716894977;1.4381720430107527;1.8494623655913978
7;Barnet;2020;407148;4243.0;2075.0;1062.0;203.46534653465343;101.0;102.0;9.0;212;20.014150943396228;9.787735849056604;5.009433962264151;1.4666666666666666;1.7826086956521738
8;Bexley;2017;247179;2133.0;1441.0;185.0;127.16;106.0;69.0;7.0;182;11.719780219780219;7.917582417582418;1.0164835164835164;1.690625;1.865625
9;Bexley;2018;249999;1422.0;858.0;117.0;177.92233009708738;56.0;43.0;4.0;103;13.805825242718447;8.330097087378642;1.1359223300970873;1.4005305039787799;1.5755968169761274
10;Bexley;2019;252885;701.0;348.0;71.0;216.84;35.0;13.0;2.0;50;14.02;6.96;1.42;1.5;1.7461139896373057
11;Bexley;2020;254970;5236.0;2516.0;506.0;217.9152542372881;133.0;121.0;46.0;300;17.453333333333333;8.386666666666667;1.6866666666666668;1.5747126436781609;1.6954022988505748
