,year,borough,Post Type,Like,Retweet,Reply,Post Type_image,Post Type_text,Post Type_video,Police force,Contact / Interact,London,Project Servator,Local,Missing person,Crime,Arrest / Results,Traffic,Drugs
0,2017,Barking and Dagenham,image,6,5,3,1,0,0,1,0,0,0,0,0,0,0,1,0
1,2017,Barking and Dagenham,image,81,680,9,1,0,0,0,1,0,0,1,0,0,0,0,0
2,2017,Barking and Dagenham,image,4,,,1,0,0,1,1,0,0,1,0,0,0,0,0
3,2017,Barking and Dagenham,image,2,1,,1,0,0,0,0,0,0,0,0,0,0,1,0
4,2017,Barking and Dagenham,text,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2017,Barking and Dagenham,text,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,1,0,0,0,0,0
7,2017,Barking and Dagenham,image,12,1,,1,0,0,1,1,0,0,0,0,1,0,0,0
8,2017,Barking and Dagenham,image,7,,2,1,0,0,1,0,0,0,0,0,1,0,0,0
9,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,Barking and Dagenham,image,4,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,Barking and Dagenham,image,20,5,,1,0,0,1,0,0,0,0,0,1,0,0,0
12,2017,Barking and Dagenham,text,11,,,0,1,0,1,0,0,0,1,0,0,0,0,0
13,2017,Barking and Dagenham,text,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2017,Barking and Dagenham,text,3,,,0,1,0,1,1,1,0,0,0,1,0,1,0
15,2017,Barking and Dagenham,image,20,,5,1,0,0,1,0,0,0,0,0,1,1,1,0
16,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2017,Barking and Dagenham,image,2,2,,1,0,0,1,1,0,0,1,0,0,0,0,0
18,2017,Barking and Dagenham,text,2,1,,0,1,0,0,0,0,0,0,0,0,0,0,0
19,2017,Barking and Dagenham,text,1,1,,0,1,0,0,1,0,0,1,0,0,0,1,0
20,2017,Barking and Dagenham,image,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,Barking and Dagenham,image,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
22,2017,Barking and Dagenham,image,3,6,,1,0,0,0,0,0,0,0,0,0,0,0,0
23,2017,Barking and Dagenham,image,4,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2017,Barking and Dagenham,image,1,,,1,0,0,0,0,0,0,1,0,1,0,0,0
25,2017,Barking and Dagenham,image,5,11,,1,0,0,0,1,0,0,0,1,0,0,0,0
26,2017,Barking and Dagenham,image,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0
27,2017,Barking and Dagenham,image,8,3,1,1,0,0,1,0,0,0,1,0,1,0,0,0
28,2017,Barking and Dagenham,image,13,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0
29,2017,Barking and Dagenham,text,226,241,20,0,1,0,0,0,1,0,0,0,1,0,0,0
30,2017,Barking and Dagenham,image,4,3,,1,0,0,0,0,0,0,0,0,1,0,0,0
31,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,0,0,0,0
32,2017,Barking and Dagenham,image,2,,,1,0,0,0,1,0,0,0,0,1,1,0,0
33,2017,Barking and Dagenham,image,4,,,1,0,0,0,1,0,0,0,0,1,1,0,0
34,2017,Barking and Dagenham,image,3,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2017,Barking and Dagenham,image,26,5,2,1,0,0,1,0,1,0,0,0,0,0,0,0
36,2017,Barking and Dagenham,image,6,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
37,2017,Barking and Dagenham,image,4,,,1,0,0,0,1,0,0,0,0,1,1,0,0
38,2017,Barking and Dagenham,text,4,1,,0,1,0,0,1,0,0,0,0,1,1,0,0
39,2017,Barking and Dagenham,image,7,3,,1,0,0,0,0,1,0,0,0,1,0,0,0
40,2017,Barking and Dagenham,text,5,1,,0,1,0,0,0,0,0,0,0,0,0,0,0
41,2017,Barking and Dagenham,image,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
42,2017,Barking and Dagenham,video,4,1,,0,0,1,0,0,0,0,0,0,1,0,0,0
43,2017,Barking and Dagenham,image,2,,,1,0,0,0,1,0,0,0,0,0,1,0,0
44,2017,Barking and Dagenham,image,3,,,1,0,0,0,1,0,0,0,0,1,0,0,0
45,2017,Barking and Dagenham,text,2,,,0,1,0,0,1,0,0,0,0,1,1,0,0
46,2017,Barking and Dagenham,image,2,1,,1,0,0,1,0,0,0,1,0,0,0,0,0
47,2017,Barking and Dagenham,text,3,,,0,1,0,0,0,0,0,0,0,1,0,0,0
48,2017,Barking and Dagenham,text,3,1,,0,1,0,0,0,0,0,0,0,0,0,1,0
49,2017,Barking and Dagenham,image,2,,,1,0,0,0,0,0,0,0,0,0,0,1,0
50,2017,Barking and Dagenham,video,3,,,0,0,1,0,0,0,0,0,0,1,0,0,0
51,2017,Barking and Dagenham,image,3,,,1,0,0,0,0,0,0,0,0,0,0,0,0
52,2017,Barking and Dagenham,video,3,,,0,0,1,0,0,0,0,0,0,1,0,0,0
53,2017,Barking and Dagenham,image,6,4,,1,0,0,0,0,0,0,0,0,1,0,0,0
54,2017,Barking and Dagenham,text,4,,,0,1,0,0,0,0,0,0,0,0,0,0,0
55,2017,Barking and Dagenham,image,3,,2,1,0,0,0,0,0,0,0,0,0,0,0,0
56,2017,Barking and Dagenham,image,4,,,1,0,0,0,0,0,0,0,0,0,0,1,0
57,2017,Barking and Dagenham,image,1,,,1,0,0,0,1,0,0,0,0,1,0,0,0
58,2017,Barking and Dagenham,image,2,,,1,0,0,1,0,0,0,1,0,0,0,0,0
59,2017,Barking and Dagenham,text,,,,0,1,0,0,0,0,0,0,0,1,1,0,0
60,2017,Barking and Dagenham,image,,,,1,0,0,0,1,0,0,0,0,1,1,0,0
61,2017,Barking and Dagenham,image,15,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
62,2017,Barking and Dagenham,image,2,1,,1,0,0,0,0,0,0,0,0,1,0,0,0
63,2017,Barking and Dagenham,text,2,,,0,1,0,0,0,0,0,0,0,0,0,0,0
64,2017,Barking and Dagenham,image,1,,,1,0,0,0,1,0,0,0,0,1,1,0,0
65,2017,Barking and Dagenham,image,26,7,1,1,0,0,1,0,0,0,0,0,1,0,1,0
66,2017,Barking and Dagenham,image,27,4,,1,0,0,1,0,0,0,1,0,1,1,1,0
67,2017,Barking and Dagenham,image,49,15,2,1,0,0,1,1,0,0,0,0,1,1,1,0
68,2017,Barking and Dagenham,image,3,,,1,0,0,1,0,0,0,1,0,0,0,0,0
69,2017,Barking and Dagenham,image,1,1,,1,0,0,1,0,1,0,0,0,0,0,0,0
70,2017,Barking and Dagenham,text,4,,,0,1,0,1,0,0,0,0,0,0,0,0,0
71,2017,Barking and Dagenham,image,14,1,3,1,0,0,1,0,0,0,0,0,0,1,1,0
72,2017,Barking and Dagenham,image,19,4,2,1,0,0,1,0,0,0,0,0,0,0,1,0
73,2017,Barking and Dagenham,image,3,6,,1,0,0,1,0,1,0,0,0,0,0,0,0
74,2017,Barking and Dagenham,image,9,1,,1,0,0,1,0,0,0,1,0,0,0,0,0
75,2017,Barking and Dagenham,image,5,2,,1,0,0,0,0,0,0,0,0,1,0,0,0
76,2017,Barking and Dagenham,image,32,2,6,1,0,0,1,0,1,0,0,0,1,0,1,0
77,2017,Barking and Dagenham,image,6,3,,1,0,0,0,0,0,0,0,0,1,0,0,0
78,2017,Barking and Dagenham,text,5,3,,0,1,0,0,0,0,0,0,0,0,0,1,0
79,2017,Barking and Dagenham,text,5,1,,0,1,0,1,1,0,0,1,0,0,1,0,0
80,2017,Barking and Dagenham,text,2,,,0,1,0,0,0,0,0,0,0,1,1,0,0
81,2017,Barking and Dagenham,image,1,,,1,0,0,0,1,0,0,0,0,0,1,0,0
82,2017,Barking and Dagenham,image,22,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0
83,2017,Barking and Dagenham,text,2,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
84,2017,Barking and Dagenham,text,1,,,0,1,0,0,1,0,0,0,0,1,1,0,0
