DATE,Fairly well informed,Not at all informed,Very well informed
2017-01,657,314,89
2017-04,614,311,89
2017-05,729,343,92
2017-06,632,250,114
2017-07,661,308,99
2017-08,657,342,73
2017-09,686,242,109
2017-10,765,240,88
2017-11,975,265,131
2017-12,463,199,48
2018-01,744,287,66
2018-02,648,248,66
2018-03,662,366,75
2018-04,646,283,61
2018-05,757,332,98
2018-06,624,307,67
2018-07,628,401,58
2018-08,700,327,64
2018-09,650,274,58
2018-10,656,297,50
2018-11,639,363,66
2018-12,638,355,98
2019-01,670,310,60
2019-02,687,349,50
2019-03,627,336,52
2019-04,657,357,55
2019-05,678,326,63
2019-06,669,309,46
2019-07,612,380,56
2019-08,696,340,42
2019-09,638,317,55
2019-10,651,343,60
2019-11,663,341,59
2019-12,664,294,58
